type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Takeaway Food Services,-37.80381,144.9106,Mia Riverside Takeaway,Part 93-111 Sims Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,8,"-37.81988, 144.95649",517-537 Flinders Lane MELBOURNE VIC 3000,11,103957,103957,Melbourne CBD
Cafes and Restaurants,-37.8138,144.95987,Michelangelo Osteria,215 Queen Street MELBOURNE VIC 3000,Indoor & Outdoor,12,"-37.81988, 144.95649",517-537 Flinders Lane MELBOURNE VIC 3000,11,103957,103957,Melbourne CBD
Takeaway Food Services,-37.80282,144.96442,Mid Square Coffee,119 Pelham Street CARLTON VIC 3053,Indoor,12,"-37.81988, 144.95649",517-537 Flinders Lane MELBOURNE VIC 3000,11,103957,103957,Melbourne CBD
Cafes and Restaurants,-37.81663,144.96382,Midtown Cafe & Catering,Lobby & Part Ground 303 Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,17,"-37.8204, 144.95597",550-554 Flinders Street MELBOURNE VIC 3000,11,103987,103987,Melbourne CBD
Cafes and Restaurants,-37.79777,144.96713,Milk The Cow,323 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,80,"-37.82002, 144.95584",547-555 Flinders Lane MELBOURNE VIC 3000,11,559405,559405,Melbourne CBD
Cafes and Restaurants,-37.81164,144.96727,Minh Xuong Seafood & BBQ Restaurant,209-211 Russell Street MELBOURNE VIC 3000,Indoor,52,"-37.82002, 144.95584",547-555 Flinders Lane MELBOURNE VIC 3000,11,559405,559405,Melbourne CBD
Cafes and Restaurants,-37.81329,144.938,Miss Pings Thai Eatery,Ground 37 Star Crescent DOCKLANDS VIC 3008,Indoor,32,"-37.81943, 144.95951",The Clarion Gateway Apartments 1-13 William Street MELBOURNE VIC 3000,12,103999,103999,Melbourne CBD
Takeaway Food Services,-37.81837,144.95542,Miss Siam Thai Cuisine,"Shop 2, 576 Collins Street MELBOURNE VIC 3000",Indoor,12,"-37.81929, 144.9592",15-33 William Street MELBOURNE VIC 3000,12,110091,110091,Melbourne CBD
Takeaway Food Services,-37.80458,144.94744,Mission Cafe,Lobby 552-568 Victoria Street NORTH MELBOURNE VIC 3051,Indoor,10,"-37.81929, 144.9592",15-33 William Street MELBOURNE VIC 3000,12,110091,110091,Melbourne CBD
Cafes and Restaurants,-37.81293,144.96585,Mister Close,"Shop 13, 246 Bourke Street MELBOURNE VIC 3000",Indoor,64,"-37.81929, 144.9592",15-33 William Street MELBOURNE VIC 3000,12,110091,110091,Melbourne CBD
"Pubs, Taverns and Bars",-37.8168,144.96029,Mitre Tavern,Mitre Tavern 5-9 Bank Place MELBOURNE VIC 3000,Indoor & Outdoor,88,"-37.81929, 144.9592",15-33 William Street MELBOURNE VIC 3000,12,110091,110091,Melbourne CBD
Cafes and Restaurants,-37.80166,144.96647,Mixity Restaurant and Cafe,Ground 171 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,40,"-37.81865, 144.96042",21-31 Market Street MELBOURNE VIC 3000,13,106435,106435,Melbourne CBD
Cafes and Restaurants,-37.82072,144.9663,Miyako Japanese Cuisine & Teppanyaki,"Restaurant 2, Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Indoor & Outdoor,90,"-37.81851, 144.96113",14-40 Market Street MELBOURNE VIC 3000,13,106438,106438,Melbourne CBD
Cafes and Restaurants,-37.81338,144.96097,Miznon,59-61 Hardware Lane MELBOURNE VIC 3000,Indoor & Outdoor,70,"-37.81851, 144.96113",14-40 Market Street MELBOURNE VIC 3000,13,106438,106438,Melbourne CBD
Cafes and Restaurants,-37.81214,144.96068,Mjolner Melbourne,"Unit 1, 106-112 Hardware Street MELBOURNE VIC 3000",Indoor,120,"-37.81806, 144.96461",1-5 Elizabeth Street MELBOURNE VIC 3000,14,103165,103165,Melbourne CBD
Cafes and Restaurants,-37.81938,144.94799,Mms Mirchi Madras Streat,2A Waterview Walk DOCKLANDS VIC 3008,Indoor,36,"-37.81793, 144.96455",7-9 Elizabeth Street MELBOURNE VIC 3000,14,103166,103166,Melbourne CBD
Cafes and Restaurants,-37.81706,144.9659,Mock Turtle Degraves,34 Degraves Street MELBOURNE VIC 3000,Indoor & Outdoor,12,"-37.81755, 144.96437",27-29 Elizabeth Street MELBOURNE VIC 3000,14,103171,103171,Melbourne CBD
Cafes and Restaurants,-37.81558,144.9633,Momo Central,347 Little Collins Street MELBOURNE VIC 3000,Indoor,20,"-37.81742, 144.96433",31-39 Elizabeth Street MELBOURNE VIC 3000,14,103172,103172,Melbourne CBD
Cafes and Restaurants,-37.81374,144.96662,Momo Station,"Shop 25, 239 Bourke Street MELBOURNE VIC 3000",Indoor & Outdoor,18,"-37.81742, 144.96433",31-39 Elizabeth Street MELBOURNE VIC 3000,14,103172,103172,Melbourne CBD
Takeaway Food Services,-37.80096,144.9642,Momo Sushi,660 Swanston Street CARLTON VIC 3053,Indoor & Outdoor,6,"-37.81785, 144.96323",335-339 Flinders Lane MELBOURNE VIC 3000,14,103950,103950,Melbourne CBD
Takeaway Food Services,-37.8024,144.96113,Momo Sushi Melbourne,163 Pelham Street CARLTON VIC 3053,Indoor,10,"-37.81859, 144.96271",Q2 Tower 2-8 Queen Street MELBOURNE VIC 3000,14,104003,104003,Melbourne CBD
Cafes and Restaurants,-37.83853,144.97706,Moody Brew Coffee Bar,"Suite 6, Ground 431 St Kilda Road MELBOURNE VIC 3004",Indoor,30,"-37.8182, 144.96357",318-332 Flinders Street MELBOURNE VIC 3000,14,104006,104006,Melbourne CBD
Cafes and Restaurants,-37.81244,144.96033,Mook Ji Bar,404-406 Lonsdale Street MELBOURNE VIC 3000,Indoor,68,"-37.81806, 144.964",300-316 Flinders Street MELBOURNE VIC 3000,14,104007,104007,Melbourne CBD
Takeaway Food Services,-37.81489,144.96401,Moonshine Studio,"Shop 10, 318-322 Little Collins Street MELBOURNE VIC 3000",Outdoor,6,"-37.81819, 144.96253",20-26 Queen Street MELBOURNE VIC 3000,14,108115,108115,Melbourne CBD
Cafes and Restaurants,-37.80219,144.95825,More Spicy More Tea Melbourne,233 Pelham Street MELBOURNE VIC 3000,Indoor,20,"-37.81819, 144.96253",20-26 Queen Street MELBOURNE VIC 3000,14,108115,108115,Melbourne CBD
Cafes and Restaurants,-37.80154,144.95019,Mork Chocolate,148-150 Errol Street NORTH MELBOURNE VIC 3051,Indoor,18,"-37.8173, 144.96488",28-32 Elizabeth Street MELBOURNE VIC 3000,15,103327,103327,Melbourne CBD
Cafes and Restaurants,-37.81671,144.96909,Movida,"Shop 5, 1 Hosier Lane MELBOURNE VIC 3000",Indoor,70,"-37.81766, 144.96509",River View House 274-282 Flinders Street MELBOURNE VIC 3000,15,103328,103328,Melbourne CBD
Cafes and Restaurants,-37.81494,144.95877,Movida Aqui,"Shop 7, 500 Bourke Street MELBOURNE VIC 3000",Indoor & Outdoor,150,"-37.81766, 144.96509",River View House 274-282 Flinders Street MELBOURNE VIC 3000,15,103328,103328,Melbourne CBD
Cafes and Restaurants,-37.81671,144.96909,Movida Next Door,"Shop 3-4, 164 Flinders Street MELBOURNE VIC 3000",Indoor,30,"-37.81682, 144.96643",237-239 Flinders Lane MELBOURNE VIC 3000,15,103939,103939,Melbourne CBD
Cafes and Restaurants,-37.8164,144.9601,Mr Ashcroft,"Shop 1, Ground 435 Little Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,20,"-37.81686, 144.9663",241-243 Flinders Lane MELBOURNE VIC 3000,15,103940,103940,Melbourne CBD
Cafes and Restaurants,-37.80544,144.96428,Mr Bello,Ground 55 Cardigan Street CARLTON VIC 3053,Indoor & Outdoor,12,"-37.81706, 144.9659",253-265 Flinders Lane MELBOURNE VIC 3000,15,103942,103942,Melbourne CBD
Cafes and Restaurants,-37.81274,144.96628,Mr Bo Restaurant,"Shop 23, 219 Little Bourke Street MELBOURNE VIC 3000",Indoor,80,"-37.81706, 144.9659",253-265 Flinders Lane MELBOURNE VIC 3000,15,103942,103942,Melbourne CBD
Cafes and Restaurants,-37.82093,144.9495,Mr Collins,"Tenancy 12, 747 Collins Street DOCKLANDS VIC 3008",Indoor & Outdoor,24,"-37.81706, 144.9659",253-265 Flinders Lane MELBOURNE VIC 3000,15,103942,103942,Melbourne CBD
Takeaway Food Services,-37.81247,144.96839,Mr Crackles,Gnd & Bmt 164 Bourke Street MELBOURNE VIC 3000,Indoor,14,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.81715,144.94936,Mr Grazier,Shop 4-5 Concourse 700 Bourke Street DOCKLANDS VIC 3008,Indoor,140,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.8254,144.95844,Mr Hive Kitchen & Bar,"Shop 140, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",Indoor,358,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Takeaway Food Services,-37.81077,144.96405,Mr Kitchen,319 Swanston Street MELBOURNE VIC 3000,Indoor,24,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.8006,144.96788,Mr Pietro,48-50 Grattan Street CARLTON VIC 3053,Indoor & Outdoor,4,"-37.8171, 144.96548",Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,15,103943,103943,Melbourne CBD
Cafes and Restaurants,-37.80286,144.95066,Mr Price's Food Store,502 Queensberry Street NORTH MELBOURNE VIC 3051,Indoor,30,"-37.81761, 144.96563",The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,15,104010,104010,Melbourne CBD
Cafes and Restaurants,-37.81242,144.96727,Mr Ramen San,"Shop 12A, 194-200 Bourke Street MELBOURNE VIC 3000",Indoor,22,"-37.81761, 144.96563",The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,15,104010,104010,Melbourne CBD
Takeaway Food Services,-37.81068,144.96573,Mr Teriyaki,8-12 QV Urban Market MELBOURNE VIC 3000,Indoor,8,"-37.81761, 144.96563",The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,15,104010,104010,Melbourne CBD
Cafes and Restaurants,-37.81162,144.97575,Mr Tod,Basement 2-6 Parliament Place EAST MELBOURNE VIC 3002,Indoor & Outdoor,70,"-37.81752, 144.966",250-254 Flinders Street MELBOURNE VIC 3000,15,104011,104011,Melbourne CBD
Takeaway Food Services,-37.79502,144.9414,Mr Tucker,17 Melrose Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,10,"-37.81752, 144.966",250-254 Flinders Street MELBOURNE VIC 3000,15,104011,104011,Melbourne CBD
Cafes and Restaurants,-37.80977,144.9653,Mr Tulk Cafe,Shop 304-328 Swanston Street MELBOURNE VIC 3000,Indoor & Outdoor,70,"-37.81674, 144.9667",31-41 Swanston Street MELBOURNE VIC 3000,15,109263,109263,Melbourne CBD
Cafes and Restaurants,-37.81074,144.97199,Mrs Parma's,19 Little Bourke Street MELBOURNE VIC 3000,Indoor,60,"-37.81618, 144.96868",175-177 Flinders Lane MELBOURNE VIC 3000,16,103935,103935,Melbourne CBD
Cafes and Restaurants,-37.81489,144.97077,Mrs Singh,"Shop 5E, 88 Flinders Lane MELBOURNE VIC 3000",Indoor,50,"-37.81679, 144.96768",The Chapter House and Diocesan Offices 197-209 Flinders Lane MELBOURNE VIC 3000,16,110761,110760,Melbourne CBD
Cafes and Restaurants,-37.81267,144.96687,Mrs Zan's Kitchen,"Shop 7, 206 Bourke Street MELBOURNE VIC 3000",Indoor,56,"-37.81679, 144.96768",The Chapter House and Diocesan Offices 197-209 Flinders Lane MELBOURNE VIC 3000,16,110761,110760,Melbourne CBD
"Pubs, Taverns and Bars",-37.81753,144.96065,Ms Collins,Part Gnd & Mezzanine 425 Collins Street MELBOURNE VIC 3000,Indoor,100,"-37.81584, 144.97204",1-9 Exhibition Street MELBOURNE VIC 3000,17,103591,103591,Melbourne CBD
Cafes and Restaurants,-37.81647,144.97594,Mugs Alley,291 Wellington Parade South EAST MELBOURNE VIC 3002,Indoor & Outdoor,16,"-37.81546, 144.97173",11-37 Exhibition Street MELBOURNE VIC 3000,17,103592,103592,Melbourne CBD
Cafes and Restaurants,-37.79937,144.95401,Mum Mum Asian Street Food,67 Flemington Road NORTH MELBOURNE VIC 3051,Indoor & Outdoor,42,"-37.81541, 144.97122",91-93 Flinders Lane MELBOURNE VIC 3000,17,103921,103921,Melbourne CBD
Takeaway Food Services,-37.81385,144.9612,Mumchan,"Shop 2, 395 Little Bourke Street MELBOURNE VIC 3000",Indoor,9,"-37.81574, 144.97016",133-135 Flinders Lane MELBOURNE VIC 3000,17,103928,103928,Melbourne CBD
Takeaway Food Services,-37.81068,144.96573,Mumuyo QV,14-18 QV Urban Market MELBOURNE VIC 3000,Indoor,5,"-37.8159, 144.97148",96-98 Flinders Street MELBOURNE VIC 3000,17,104028,104028,Melbourne CBD
"Pubs, Taverns and Bars",-37.82411,144.95061,Munich Brau Haus,45 South Wharf Promenade SOUTH WHARF VIC 3006,Indoor & Outdoor,250,"-37.81614, 144.9703",10-20 Oliver Lane MELBOURNE VIC 3000,17,107003,107003,Melbourne CBD
Cafes and Restaurants,-37.81381,144.96185,Murmur Kitchen,Ground 15-19 Warburton Lane MELBOURNE VIC 3000,Indoor,45,"-37.816, 144.96989",24-30 Russell Street MELBOURNE VIC 3000,17,108593,108593,Melbourne CBD
