type,latitude,longitude,name,address,seating_type,number_of_seats,Location,Building address,Block ID,Property ID,Base property ID,CLUE small area
Cafes and Restaurants,-37.82274,144.96863,Gallery Kitchen,Part Ground 180 St Kilda Road SOUTHBANK VIC 3006,Indoor,1000,"-37.79671, 144.96553",258 Elgin Street CARLTON VIC 3053,203,103123,103123,Carlton
Cafes and Restaurants,-37.81953,144.95747,Gami Chicken & Beer,Basement 26 King Street MELBOURNE VIC 3000,Indoor,80,"-37.79783, 144.96517",College Square on Swanston 768-804 Swanston Street CARLTON VIC 3053,204,109359,109359,Carlton
Cafes and Restaurants,-37.81346,144.956,Gami City,"Shop G, 535 Little Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,40,"-37.79946, 144.96489",Royal Dental Hospital 720 Swanston Street CARLTON VIC 3053,205,573289,573289,Carlton
Cafes and Restaurants,-37.80914,144.96872,Gami Training Centre,100 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,48,"-37.799, 144.96477",740-750 Swanston Street CARLTON VIC 3053,205,573290,573290,Carlton
Cafes and Restaurants,-37.81606,144.96583,Ganache Chocolate Lounge,Ground 245 Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,16,"-37.79881, 144.9663",235-237 Faraday Street CARLTON VIC 3053,206,103694,103694,Carlton
Cafes and Restaurants,-37.81372,144.95493,Gangnam Pocha,Pt Lot S2 270 King Street MELBOURNE VIC 3000,Indoor,37,"-37.80046, 144.96655",205-207 Lygon Street CARLTON VIC 3053,206,106113,106113,Carlton
Cafes and Restaurants,-37.80886,144.95168,Gap Cafe,477 King Street WEST MELBOURNE VIC 3003,Indoor & Outdoor,30,"-37.80046, 144.96655",205-207 Lygon Street CARLTON VIC 3053,206,106113,106113,Carlton
Cafes and Restaurants,-37.81402,144.97029,Garcon Paris Steakhouse,"Shop 5, Ground 90 Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,8,"-37.80019, 144.96672",219-221 Lygon Street CARLTON VIC 3053,206,106118,106118,Carlton
Cafes and Restaurants,-37.82274,144.96863,Garden Restaurant,Part Ground 180 St Kilda Road SOUTHBANK VIC 3006,Indoor,160,"-37.80005, 144.96674",225-229 Lygon Street CARLTON VIC 3053,206,106120,106120,Carlton
"Pubs, Taverns and Bars",-37.81553,144.9711,Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,Indoor,326,"-37.79948, 144.96684",255-257 Lygon Street CARLTON VIC 3053,206,106130,106130,Carlton
Cafes and Restaurants,-37.81841,144.95223,Gaslight Project,Part Level 3 699 Bourke Street DOCKLANDS VIC 3008,Indoor,30,"-37.79948, 144.96684",255-257 Lygon Street CARLTON VIC 3053,206,106130,106130,Carlton
Cafes and Restaurants,-37.81387,144.95991,Gasthaus On Queen,211-213 Queen Street MELBOURNE VIC 3000,Indoor,55,"-37.79839, 144.96704",291-299 Lygon Street CARLTON VIC 3053,207,106142,106142,Carlton
Cafes and Restaurants,-37.8117,144.9673,Gatboy,Gnd & Flr1 207 Russell Street MELBOURNE VIC 3000,Indoor,60,"-37.79818, 144.96708",305 Lygon Street CARLTON VIC 3053,207,106144,106144,Carlton
Cafes and Restaurants,-37.82018,144.9542,Gaylord Indian Restaurant,Restaurant 33 Spencer Street DOCKLANDS VIC 3008,Indoor & Outdoor,50,"-37.79777, 144.96713",323 Lygon Street CARLTON VIC 3053,207,106149,106149,Carlton
Takeaway Food Services,-37.80102,144.96665,Gelatissimo Carlton,197 Lygon Street CARLTON VIC 3053,Outdoor,8,"-37.79764, 144.96715",329 Lygon Street CARLTON VIC 3053,207,106152,106152,Carlton
Takeaway Food Services,-37.81329,144.938,Gelatoria On the Docks,Ground 36 Star Crescent DOCKLANDS VIC 3008,Outdoor,12,"-37.79764, 144.96715",329 Lygon Street CARLTON VIC 3053,207,106152,106152,Carlton
Cafes and Restaurants,-37.79753,144.96838,Gemma Simple Italian,183 Elgin Street CARLTON VIC 3053,Indoor & Outdoor,10,"-37.79751, 144.96717",331-335 Lygon Street CARLTON VIC 3053,207,106153,106153,Carlton
Takeaway Food Services,-37.81451,144.95056,Genki Express,Shop 302A Ground 237-261 Spencer Street DOCKLANDS VIC 3008,Indoor,12,"-37.79735, 144.96723",337-343 Lygon Street CARLTON VIC 3053,207,106154,106154,Carlton
Cafes and Restaurants,-37.81576,144.98818,George Street Cafe,65 George Street EAST MELBOURNE VIC 3002,Indoor & Outdoor,30,"-37.79314, 144.96905",South Tower No.1 College Square Apartments 570 Lygon Street CARLTON VIC 3053,212,111336,106170,Carlton
Cafes and Restaurants,-37.81636,144.98743,Geppetto Trattoria,78A Wellington Parade EAST MELBOURNE VIC 3002,Indoor & Outdoor,6,"-37.79366, 144.97077",497-513 Rathdowne Street CARLTON VIC 3053,212,633373,633373,Carlton
Cafes and Restaurants,-37.81507,144.96578,Get Juicy,"Shop 3, 115 Swanston Street MELBOURNE VIC 3000",Indoor,16,"-37.79698, 144.96816",192 Elgin Street CARLTON VIC 3053,214,103134,103134,Carlton
Cafes and Restaurants,-37.83432,144.9817,Gilson,171 Domain Road SOUTH YARRA VIC 3141,Indoor & Outdoor,42,"-37.79698, 144.96816",192 Elgin Street CARLTON VIC 3053,214,103134,103134,Carlton
Cafes and Restaurants,-37.82316,144.95833,Ging Thai,"Shop 11-12, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Indoor & Outdoor,90,"-37.79695, 144.96781",414-422 Lygon Street CARLTON VIC 3053,214,106186,106186,Carlton
Cafes and Restaurants,-37.81938,144.94799,Ginger Leaf Thai Restaurant,763 Bourke Street DOCKLANDS VIC 3008,Indoor,70,"-37.79715, 144.96981",138-144 Elgin Street CARLTON VIC 3053,215,103144,103144,Carlton
Cafes and Restaurants,-37.81642,144.9662,Ginger Olive Restaurant and Grill,"Shop 2, Ground 234 Flinders Lane MELBOURNE VIC 3000",Indoor,40,"-37.79838, 144.96849",313-315 Drummond Street CARLTON VIC 3053,217,102686,102686,Carlton
Cafes and Restaurants,-37.81125,144.97093,Gingerboy,27-29 Crossley Street MELBOURNE VIC 3000,Indoor,100,"-37.79751, 144.96871",171-175 Elgin Street CARLTON VIC 3053,217,103102,103102,Carlton
Cafes and Restaurants,-37.81196,144.96852,Ginza Teppanyaki Japanese Restaurant,Ground 139 Little Bourke Street MELBOURNE VIC 3000,Indoor,80,"-37.79746, 144.96821",189 Elgin Street CARLTON VIC 3053,217,103107,103107,Carlton
Takeaway Food Services,-37.78462,144.95163,Giraffe Cafe,Kiosk Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Outdoor,55,"-37.79851, 144.96784",198-204 Faraday Street CARLTON VIC 3053,217,103703,103703,Carlton
Cafes and Restaurants,-37.83571,144.97603,Giro DÕItalia,"Shop 1, 397 St Kilda Road MELBOURNE VIC 3004",Indoor & Outdoor,78,"-37.79851, 144.96784",198-204 Faraday Street CARLTON VIC 3053,217,103703,103703,Carlton
Cafes and Restaurants,-37.8097,144.95664,GJ's Grill,"Shop 1, 243 Franklin Street MELBOURNE VIC 3000",Indoor,34,"-37.79844, 144.96802",194-196 Faraday Street CARLTON VIC 3053,217,103704,103704,Carlton
Cafes and Restaurants,-37.80864,144.96846,Global Kitchen Cafe,"Shop 5, 321 Exhibition Street MELBOURNE VIC 3000",Indoor,80,"-37.79857, 144.96849",176-178 Faraday Street CARLTON VIC 3053,217,103710,103710,Carlton
Cafes and Restaurants,-37.81274,144.96628,Gloria Jean's Coffees,"Shop 7-8, 236 Bourke Street MELBOURNE VIC 3000",Indoor & Outdoor,20,"-37.79858, 144.96859",172-174 Faraday Street CARLTON VIC 3053,217,103711,103711,Carlton
Cafes and Restaurants,-37.81129,144.96991,Go Noodle House,"Shop 1-2, 189-195 Exhibition Street MELBOURNE VIC 3000",Indoor,50,"-37.79763, 144.96776",398-400 Lygon Street CARLTON VIC 3053,217,106189,106189,Carlton
Cafes and Restaurants,-37.82316,144.95833,Gochi,"Shop 27, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Indoor,40,"-37.79828, 144.96764",364 Lygon Street CARLTON VIC 3053,217,106195,106195,Carlton
Cafes and Restaurants,-37.81381,144.95383,Gogi Matcha,595-599 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,88,"-37.79916, 144.96749",334-336 Lygon Street CARLTON VIC 3053,218,106203,106203,Carlton
Cafes and Restaurants,-37.82151,144.95076,Gokotta Kaffe,1 Village Street DOCKLANDS VIC 3008,Indoor,36,"-37.79932, 144.96747",326-328 Lygon Street CARLTON VIC 3053,218,106206,106206,Carlton
Cafes and Restaurants,-37.81329,144.938,Gold Leaf Harbour View Restaurant Pty Ltd,Level 1 10-12 Star Circus DOCKLANDS VIC 3008,Indoor,260,"-37.79999, 144.96738",298 Lygon Street CARLTON VIC 3053,218,106215,106215,Carlton
Cafes and Restaurants,-37.81129,144.96991,Golden Delicious,"Shop 6, 83-89 Little Bourke Street MELBOURNE VIC 3000",Indoor,130,"-37.79918, 144.96988",319-323 Rathdowne Street CARLTON VIC 3053,219,108188,108188,Carlton
"Pubs, Taverns and Bars",-37.81288,144.96101,Golden Monkey,Basement & Rear 389 Lonsdale Street MELBOURNE VIC 3000,Indoor & Outdoor,30,"-37.79696, 144.97088",114-116 Rathdowne Street CARLTON VIC 3053,224,108247,108247,Carlton
"Pubs, Taverns and Bars",-37.81412,144.95512,Goldfingers Mens Club,250 King Street MELBOURNE VIC 3000,Indoor,150,"-37.79586, 144.97107",154-156 Rathdowne Street CARLTON VIC 3053,225,108238,108238,Carlton
Takeaway Food Services,-37.81068,144.96573,Gong Cha,30-32 Red Cape Lane MELBOURNE VIC 3000,Indoor & Outdoor,8,"-37.79605, 144.97104",138-150 Rathdowne Street CARLTON VIC 3053,225,108239,108239,Carlton
Cafes and Restaurants,-37.81181,144.96515,Gong De Lin,Level 3 264 Swanston Street MELBOURNE VIC 3000,Indoor,40,"-37.79605, 144.97104",138-150 Rathdowne Street CARLTON VIC 3053,225,108239,108239,Carlton
Cafes and Restaurants,-37.81441,144.96573,Gopal's Vegetarian Restaurant,Level 1-2 139-141 Swanston Street MELBOURNE VIC 3000,Indoor,80,"-37.79538, 144.97115",168-170 Rathdowne Street CARLTON VIC 3053,226,108233,108233,Carlton
Cafes and Restaurants,-37.82998,144.96796,Gordon Espresso,71 Coventry Street SOUTHBANK VIC 3006,Indoor & Outdoor,40,"-37.79548, 144.97113",164 Rathdowne Street CARLTON VIC 3053,226,108235,108235,Carlton
Cafes and Restaurants,-37.81473,144.96435,Gordons Cafe & Bar,"Shop 3-5, 306 Little Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,38,"-37.7944, 144.97514",237-239 Nicholson Street CARLTON VIC 3053,230,106969,106969,Carlton
Takeaway Food Services,-37.81484,144.95996,Gorilla Sushi,Part Ground 460 Bourke Street MELBOURNE VIC 3000,Outdoor,10,"-37.80023, 144.95928",Alan Gilbert Building - Bld 104 153-163 Barry Street CARLTON VIC 3053,240,104466,104466,Carlton
Cafes and Restaurants,-37.8109,144.96284,Gotcha Melbourne Central,"Shop 245, Level 2 300 Lonsdale Street MELBOURNE VIC 3000",Indoor,54,"-37.80023, 144.95928",Alan Gilbert Building - Bld 104 153-163 Barry Street CARLTON VIC 3053,240,104466,104466,Carlton
Cafes and Restaurants,-37.81489,144.96401,Gourmet Curry Hut,"Shop 3-4, 318-322 Little Collins Street MELBOURNE VIC 3000",Indoor & Outdoor,18,"-37.80156, 144.95882",156-180 Berkeley Street CARLTON VIC 3053,240,107550,107550,Carlton
Takeaway Food Services,-37.81637,144.95781,Goz City,502 Little Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,11,"-37.80134, 144.96273",22-40 Lincoln Square North CARLTON VIC 3053,243,105654,105654,Carlton
Cafes and Restaurants,-37.8092,144.97073,Goz City,"Shop 6, 36 Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,9,"-37.80062, 144.96364",743-751 Swanston Street CARLTON VIC 3053,243,109330,109330,Carlton
Cafes and Restaurants,-37.80783,144.95763,Gozleme Cafe,"Stall 22, Shed F Queen Victoria Market 66 Peel Street MELBOURNE VIC 3000",Outdoor,45,"-37.80062, 144.96364",743-751 Swanston Street CARLTON VIC 3053,243,109330,109330,Carlton
Cafes and Restaurants,-37.81329,144.938,Gozleme King,Shop G04 7 Star Circus DOCKLANDS VIC 3008,Indoor & Outdoor,30,"-37.80077, 144.9651",251-257 Cardigan Street CARLTON VIC 3053,245,104450,104450,Carlton
Cafes and Restaurants,-37.82316,144.95833,Gradi @ Crown,"Shop 25, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Indoor,200,"-37.80063, 144.96424",680-682 Swanston Street CARLTON VIC 3053,245,109360,109360,Carlton
Cafes and Restaurants,-37.82045,144.94346,Grain & Vine on Merchant,73A Merchant Street DOCKLANDS VIC 3008,Indoor & Outdoor,6,"-37.80132, 144.96428",644-658 Swanston Street CARLTON VIC 3053,245,109365,109365,Carlton
Cafes and Restaurants,-37.81988,144.95649,Grain Store,"Shop G2, Ground 517 Flinders Lane MELBOURNE VIC 3000",Indoor & Outdoor,75,"-37.80096, 144.9642",Astorial Apartments 660-674 Swanston Street CARLTON VIC 3053,245,110987,110987,Carlton
Takeaway Food Services,-37.81841,144.95223,Grains Galore Bakery & Kebabs,"Shop 7, Ground 99 Spencer Street DOCKLANDS VIC 3008",Indoor,12,"-37.8019, 144.96433",Building D Seasons Apartments 604 Swanston Street CARLTON VIC 3053,245,581508,538825,Carlton
Cafes and Restaurants,-37.81134,144.96796,Grandma Noodles,150 Little Bourke Street MELBOURNE VIC 3000,Indoor,50,"-37.8019, 144.96433",Building D Seasons Apartments 604 Swanston Street CARLTON VIC 3053,245,581508,538825,Carlton
Cafes and Restaurants,-37.8087,144.9687,Grandma's Dumplings,311 Exhibition Street MELBOURNE VIC 3000,Indoor & Outdoor,6,"-37.80133, 144.96563",156-164 Cardigan Street CARLTON VIC 3053,246,101693,101693,Carlton
Cafes and Restaurants,-37.81868,144.96578,Green Light Flinders,"Part Shop 17, Flinders Street Station Concourse MELBOURNE VIC 3000",Indoor,78,"-37.80187, 144.96643",163-165 Lygon Street CARLTON VIC 3053,246,106099,106099,Carlton
"Pubs, Taverns and Bars",-37.79695,144.96781,Green Man's Arms,414-422 Lygon Street CARLTON VIC 3053,Indoor,40,"-37.80187, 144.96643",163-165 Lygon Street CARLTON VIC 3053,246,106099,106099,Carlton
Cafes and Restaurants,-37.81128,144.96094,Green Me Yoghurt,10 Sutherland Street MELBOURNE VIC 3000,Indoor,19,"-37.80179, 144.96645",167 Lygon Street CARLTON VIC 3053,246,106100,106100,Carlton
Cafes and Restaurants,-37.81842,144.95855,Greta,"Tenancy 5-6, Ground 477 Collins Street MELBOURNE VIC 3000",Indoor,65,"-37.80166, 144.96647",171 Lygon Street CARLTON VIC 3053,246,106102,106102,Carlton
Cafes and Restaurants,-37.81207,144.96744,Grill King,191-193 Russell Street MELBOURNE VIC 3000,Indoor,110,"-37.80161, 144.96648",173 Lygon Street CARLTON VIC 3053,246,106103,106103,Carlton
Cafes and Restaurants,-37.81318,144.96117,Grill Steak Seafood,Ground 66 Hardware Lane MELBOURNE VIC 3000,Indoor & Outdoor,60,"-37.80145, 144.96651",177-183 Lygon Street CARLTON VIC 3053,246,106105,106105,Carlton
Cafes and Restaurants,-37.81546,144.97173,Grill'd,83 Flinders Lane MELBOURNE VIC 3000,Indoor & Outdoor,36,"-37.80114, 144.9665",191 Lygon Street CARLTON VIC 3053,246,106108,106108,Carlton
Cafes and Restaurants,-37.81068,144.96573,Grill'd (QV),17-23 QV Square MELBOURNE VIC 3000,Indoor & Outdoor,100,"-37.8009, 144.96667",201-203 Lygon Street CARLTON VIC 3053,246,106110,106110,Carlton
Cafes and Restaurants,-37.8109,144.96284,Grill'd Healthy Burgers,"Shop 319A, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,120,"-37.80097, 144.96666",199 Lygon Street CARLTON VIC 3053,246,106112,106112,Carlton
Cafes and Restaurants,-37.81005,144.98562,Grocery Bar East Melbourne,"Unit 5T, 166 Albert Street EAST MELBOURNE VIC 3002",Indoor & Outdoor,30,"-37.80097, 144.96666",199 Lygon Street CARLTON VIC 3053,246,106112,106112,Carlton
Cafes and Restaurants,-37.81173,144.97085,Grossi Florentino,Florentino Restaurant 78-84 Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,210,"-37.80082, 144.96577",111-113 Grattan Street CARLTON VIC 3053,246,559022,559022,Carlton
Cafes and Restaurants,-37.79458,144.92946,Grounded House,499 MacAulay Road KENSINGTON VIC 3031,Indoor & Outdoor,14,"-37.80081, 144.96568",115 Grattan Street CARLTON VIC 3053,246,559024,559024,Carlton
Cafes and Restaurants,-37.81534,144.96162,Guhng The Palace,19 McKillop Street MELBOURNE VIC 3000,Indoor,132,"-37.80169, 144.96723",234-236 Lygon Street CARLTON VIC 3053,247,106233,106233,Carlton
Cafes and Restaurants,-37.80977,144.9653,Guild,Part Level 1 285-321 Russell Street MELBOURNE VIC 3000,Indoor,60,"-37.80192, 144.96719",Carlton Lygon Lodge 220-228 Lygon Street CARLTON VIC 3053,247,106236,106236,Carlton
Cafes and Restaurants,-37.81346,144.956,Guk Bab,"Shop 1, 535 Little Lonsdale Street MELBOURNE VIC 3000",Indoor,55,"-37.80246, 144.9671",192-202 Lygon Street CARLTON VIC 3053,247,106238,106238,Carlton
Cafes and Restaurants,-37.8123,144.96474,Guksu,249 Swanston Street MELBOURNE VIC 3000,Indoor,48,"-37.80263, 144.96729",62 Pelham Street CARLTON VIC 3053,247,107557,107557,Carlton
Takeaway Food Services,-37.81902,144.95572,Guzman Y Gomez,"Tenancy 7A, 567 Collins Street MELBOURNE VIC 3000",Outdoor,11,"-37.80481, 144.96828",18-40 Queensberry Street CARLTON VIC 3053,251,102774,102774,Carlton
Cafes and Restaurants,-37.81123,144.96426,Guzman Y Gomez Swanston Street,Ground 293 Swanston Street MELBOURNE VIC 3000,Indoor & Outdoor,86,"-37.80481, 144.96828",18-40 Queensberry Street CARLTON VIC 3053,251,102774,102774,Carlton
Cafes and Restaurants,-37.81281,144.96897,Gyoza Douraku,147-149 Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,12,"-37.80331, 144.96681",166-168 Lygon Street CARLTON VIC 3053,252,106242,106242,Carlton
Cafes and Restaurants,-37.81247,144.96393,Gyoza Gyoza,"Shop 136, 287 Lonsdale Street MELBOURNE VIC 3000",Indoor,100,"-37.80331, 144.96681",166-168 Lygon Street CARLTON VIC 3053,252,106242,106242,Carlton
Cafes and Restaurants,-37.81159,144.96901,Gyoza Gyoza & Momo Shabu Shabu,Gnd & Mezz 115-117 Little Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,3,"-37.80359, 144.96674",152-154 Lygon Street CARLTON VIC 3053,252,106245,106245,Carlton
Cafes and Restaurants,-37.81187,144.96034,Gypsy & Pig,"Shop 3, 391 Little Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,10,"-37.80444, 144.9667",126 Lygon Street CARLTON VIC 3053,252,111059,106250,Carlton
Takeaway Food Services,-37.81625,144.9533,Ha Ha Tea,"Shop 5, 200 Spencer Street MELBOURNE VIC 3000",Indoor & Outdoor,6,"-37.80444, 144.9667",122 Lygon Street CARLTON VIC 3053,252,111061,106250,Carlton
Takeaway Food Services,-37.81211,144.96039,Hadware Street Cafe,119 Hardware Street MELBOURNE VIC 3000,Indoor & Outdoor,18,"-37.80444, 144.9667",122 Lygon Street CARLTON VIC 3053,252,111061,106250,Carlton
Cafes and Restaurants,-37.80444,144.9667,Hakata Gensuke Carlton,126 Lygon Street CARLTON VIC 3053,Indoor & Outdoor,22,"-37.80444, 144.9667",120 Lygon Street CARLTON VIC 3053,252,111062,106250,Carlton
Cafes and Restaurants,-37.81068,144.96573,Hakata Gensuke QV,200 Lonsdale Street MELBOURNE VIC 3000,Indoor & Outdoor,50,"-37.80444, 144.9667",120 Lygon Street CARLTON VIC 3053,252,111062,106250,Carlton
Cafes and Restaurants,-37.81227,144.96819,Hakata Genuke,168 Russell Street MELBOURNE VIC 3000,Indoor,30,"-37.80444, 144.9667",114 Lygon Street CARLTON VIC 3053,252,111064,106250,Carlton
Cafes and Restaurants,-37.81223,144.96147,Hakoya Izakaya,Ground 364 Lonsdale Street MELBOURNE VIC 3000,Indoor,55,"-37.80444, 144.9667",110 Lygon Street CARLTON VIC 3053,252,111066,106250,Carlton
Cafes and Restaurants,-37.81499,144.95425,Hakoya Ramen,609 Lonsdale Street MELBOURNE VIC 3000,Indoor,30,"-37.80444, 144.9667",106 Lygon Street CARLTON VIC 3053,252,111068,106250,Carlton
Cafes and Restaurants,-37.82303,144.92539,Hall St Cafe,"Suite 91, 21 Hall Street PORT MELBOURNE VIC 3207",Indoor,59,"-37.80444, 144.9667",104 Lygon Street CARLTON VIC 3053,252,111069,106250,Carlton
Cafes and Restaurants,-37.8058,144.95739,Hallah,268 Victoria Street NORTH MELBOURNE VIC 3051,Indoor,50,"-37.80444, 144.9667",80 Queensberry Street CARLTON VIC 3053,252,111070,106250,Carlton
Cafes and Restaurants,-37.80759,144.96798,Han Guuk Guan Korean Restaurant,13A Victoria Street MELBOURNE VIC 3000,Indoor,124,"-37.80444, 144.9667",116 Lygon Street CARLTON VIC 3053,252,574430,106250,Carlton
Cafes and Restaurants,-37.81579,144.95512,Hanabishi Japanese Restaurant,187 King Street MELBOURNE VIC 3000,Indoor,70,"-37.80468, 144.96595",95-97 Lygon Street CARLTON VIC 3053,254,106083,106083,Carlton
Cafes and Restaurants,-37.81068,144.96573,Hanaichi,13-15 QV Square MELBOURNE VIC 3000,Indoor & Outdoor,45,"-37.8045, 144.96598",99-109 Lygon Street CARLTON VIC 3053,254,106084,106084,Carlton
Takeaway Food Services,-37.81321,144.96228,Hana's Kitchen,344 Little Bourke Street MELBOURNE VIC 3000,Indoor & Outdoor,4,"-37.80391, 144.96608",135-137 Lygon Street CARLTON VIC 3053,254,106090,106090,Carlton
"Pubs, Taverns and Bars",-37.81364,144.97069,Handpicked Urban Cellar Door Melbourne,8 Benson Walk MELBOURNE VIC 3000,Indoor & Outdoor,14,"-37.80391, 144.96608",135-137 Lygon Street CARLTON VIC 3053,254,106090,106090,Carlton
Cafes and Restaurants,-37.81451,144.95056,Hangar Cafe Spencer Street,"Shop 214, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Indoor,98,"-37.80385, 144.96609",139-141 Lygon Street CARLTON VIC 3053,254,106091,106091,Carlton
Cafes and Restaurants,-37.8049,144.94957,Hanoi in North Melbourne,8 Errol Street NORTH MELBOURNE VIC 3051,Indoor & Outdoor,12,"-37.80373, 144.96611",147 Lygon Street CARLTON VIC 3053,254,106094,106094,Carlton
Cafes and Restaurants,-37.82288,144.95248,Hanoi Square,"Unit 14, Ground 60 Siddeley Street DOCKLANDS VIC 3008",Indoor & Outdoor,22,"-37.80366, 144.96612",151 Lygon Street CARLTON VIC 3053,254,106096,106096,Carlton
Cafes and Restaurants,-37.81215,144.95351,Hansang,"Part Lot 1, Ground 347 King Street WEST MELBOURNE VIC 3003",Indoor,32,"-37.80366, 144.96612",151 Lygon Street CARLTON VIC 3053,254,106096,106096,Carlton
Cafes and Restaurants,-37.81181,144.96054,Hanshin Pocha Melbourne,Ground 385 Little Lonsdale Street MELBOURNE VIC 3000,Indoor,108,"-37.80277, 144.96395",127-135 Pelham Street CARLTON VIC 3053,255,109366,109366,Carlton
Cafes and Restaurants,-37.81159,144.97005,Happy Lamb Hot Pot,173-175 Exhibition Street MELBOURNE VIC 3000,Indoor,100,"-37.80445, 144.96429",138 Queensberry Street CARLTON VIC 3053,255,111305,111305,Carlton
Takeaway Food Services,-37.81584,144.96633,Happy Lemon Melbourne,77 Swanston Street MELBOURNE VIC 3000,Indoor,7,"-37.80421, 144.96203",210 Queensberry Street CARLTON VIC 3053,256,108026,108026,Carlton
Cafes and Restaurants,-37.80305,144.9545,Happy Meals Melbourne Pty Ltd,Part Ground 78 Howard Street NORTH MELBOURNE VIC 3051,Indoor,70,"-37.80322, 144.9617",139-143 Bouverie Street CARLTON VIC 3053,257,101248,101248,Carlton
Takeaway Food Services,-37.81242,144.96727,Happylemon Chinatown,"Shop 27A, 194-200 Bourke Street MELBOURNE VIC 3000",Outdoor,2,"-37.80393, 144.96096",Melbourne University 224-252 Queensberry Street CARLTON VIC 3053,257,108024,108024,Carlton
Takeaway Food Services,-37.8109,144.96284,Harajuku Crepes,"Shop 148, Level 1 300 Lonsdale Street MELBOURNE VIC 3000",Indoor & Outdoor,10,"-37.80239, 144.96107",165 Pelham Street CARLTON VIC 3053,257,525988,525988,Carlton
Cafes and Restaurants,-37.81813,144.94735,Harbour Cafe,"Rear Level 4, Concourse 120 Harbour Esplanade DOCKLANDS VIC 3008",Indoor & Outdoor,64,"-37.80242, 144.96134",157 Pelham Street CARLTON VIC 3053,257,525992,525992,Carlton
Cafes and Restaurants,-37.81399,144.94494,Harbour Coffee House,"Unit 2, 198 Harbour Esplanade DOCKLANDS VIC 3008",Indoor & Outdoor,15,"-37.80241, 144.96006",Melbourne University Building C 179-201 Pelham Street CARLTON VIC 3053,258,568077,568077,Carlton
Cafes and Restaurants,-37.81638,144.98755,Hard Pressed,76 Wellington Parade EAST MELBOURNE VIC 3002,Indoor & Outdoor,6,"-37.8029, 144.96021",127-133 Leicester Street CARLTON VIC 3053,258,592858,592858,Carlton
"Pubs, Taverns and Bars",-37.79444,144.92835,Hardimans Hotel,Hardimans Hotel 521-535 Macaulay Road KENSINGTON VIC 3031,Indoor & Outdoor,230,"-37.80329, 144.95861",642-644 Elizabeth Street MELBOURNE VIC 3000,260,103272,103272,Carlton
Cafes and Restaurants,-37.81211,144.96039,Hardware Societe,123 Hardware Street MELBOURNE VIC 3000,Indoor & Outdoor,25,"-37.80579, 144.95975",520-522 Elizabeth Street MELBOURNE VIC 3000,261,103290,103290,Carlton
"Pubs, Taverns and Bars",-37.81434,144.97135,Harley House,Basement 71 Collins Street MELBOURNE VIC 3000,Indoor,90,"-37.80478, 144.96141",71-79 Bouverie Street CARLTON VIC 3053,263,101243,101243,Carlton
Cafes and Restaurants,-37.81369,144.96977,Harry's At Stamford,Part Ground 121-127 Little Collins Street MELBOURNE VIC 3000,Indoor & Outdoor,8,"-37.80478, 144.96141",71-79 Bouverie Street CARLTON VIC 3053,263,101243,101243,Carlton
Cafes and Restaurants,-37.81241,144.96053,Hash Specialty Coffee,113 Hardware Street MELBOURNE VIC 3000,Indoor & Outdoor,10,"-37.80475, 144.96291",593-597 Swanston Street CARLTON VIC 3053,264,109322,109322,Carlton
Takeaway Food Services,-37.79456,144.92951,Hatchd Chicken,497 Macaulay Road KENSINGTON VIC 3031,Indoor,12,"-37.80544, 144.96428",55 Cardigan Street CARLTON VIC 3053,265,101581,101581,Carlton
Cafes and Restaurants,-37.81305,144.96069,Hawker Boys,"Tenancy 2, 85 Hardware Lane MELBOURNE VIC 3000",Indoor & Outdoor,14,"-37.80493, 144.96392",139-155 Queensberry Street CARLTON VIC 3053,265,107867,107867,Carlton
Cafes and Restaurants,-37.84556,144.97987,Hawker Canteen,521 St Kilda Road MELBOURNE VIC 3004,Indoor & Outdoor,12,"-37.80484, 144.96353",514-520 Swanston Street CARLTON VIC 3053,265,109377,109377,Carlton
Cafes and Restaurants,-37.81094,144.96786,Hawker Chan,157-159 Lonsdale Street MELBOURNE VIC 3000,Indoor,112,"-37.80593, 144.96396",23-37 Cardigan Street CARLTON VIC 3053,265,664021,664021,Carlton
